time_from_event_s,filtered_strain
-0.45004892,-5.524666231441e-24
-0.4493165,1.679656368348e-24
-0.44858408,-3.867271116619e-23
-0.44785166,-1.097250124332e-22
-0.44711924,-1.488314042824e-22
-0.44638681,-1.089724433337e-22
-0.44565439,-1.148701785035e-23
-0.44492197,6.897041865444e-23
-0.44418955,7.929064985639e-23
-0.44345713,4.523168722094e-23
-0.4427247,4.262302472294e-23
-0.44199228,1.082834036600e-22
-0.44125986,1.922712511253e-22
-0.44052744,2.091070931666e-22
-0.43955088,9.344748268566e-23
-0.43881845,-6.350372123381e-24
-0.43808603,-3.444512918303e-23
-0.43735361,-4.391490728885e-24
-0.43662119,-3.928304765732e-24
-0.43588877,-1.005326374108e-22
-0.43515635,-2.569586117064e-22
-0.43442392,-3.504838158649e-22
-0.4336915,-2.884210551507e-22
-0.43295908,-1.048730035145e-22
-0.43222666,6.560505410625e-23
-0.43149424,1.143265254613e-22
-0.43076181,5.300230734355e-23
-0.43002939,-1.541740378454e-23
-0.42905283,1.809009047275e-23
-0.42832041,1.116320572455e-22
-0.42758799,1.744482103692e-22
-0.42685556,1.593176983524e-22
-0.42612314,9.892274015907e-23
-0.42539072,6.768199900831e-23
-0.4246583,9.512981875064e-23
-0.42392588,1.228184896724e-22
-0.42319345,6.493148637461e-23
-0.42246103,-8.511334613339e-23
-0.42172861,-2.272925658290e-22
-0.42099619,-2.485053853745e-22
-0.42026377,-1.370217669371e-22
-0.4192872,4.219822993504e-23
-0.41855478,7.303639497132e-23
-0.41782236,1.974420516926e-23
-0.41708994,-3.181024344468e-23
-0.41635752,-1.306917482590e-23
-0.4156251,6.487385816086e-23
-0.41489267,1.276301446295e-22
-0.41416025,1.108704437973e-22
-0.41342783,2.050206717760e-23
-0.41269541,-7.676570667791e-23
-0.41196299,-1.185262101396e-22
-0.41123056,-9.788062202083e-23
-0.41049814,-5.416121307874e-23
-0.40976572,-2.409842775014e-23
-0.40878916,-4.201463737804e-24
-0.40805674,2.277629909095e-23
-0.40732431,6.517142648524e-23
-0.40659189,9.662282675607e-23
-0.40585947,8.234394771765e-23
-0.40512705,1.391805286246e-23
-0.40439463,-7.336461340916e-23
-0.4036622,-1.217983636665e-22
-0.40292978,-9.638587533070e-23
-0.40219736,-1.231274128101e-23
-0.40146494,8.057689387497e-23
-0.40073252,1.353457582323e-22
-0.4000001,1.314998848891e-22
-0.39926767,7.583505621672e-23
-0.39829111,-3.644650336350e-23
-0.39755869,-1.092740935935e-22
-0.39682627,-1.397977341704e-22
-0.39609385,-1.074835375085e-22
-0.39536142,-1.270086512341e-23
-0.394629,1.074753456533e-22
-0.39389658,1.834976166254e-22
-0.39316416,1.559218001361e-22
-0.39243174,2.766265363590e-23
-0.39169931,-1.287415103604e-22
-0.39096689,-2.228899875316e-22
-0.39023447,-2.092499744409e-22
