frequency_hz,asd_strain_per_sqrt_hz
10.0,6.483142969417e-20
12.75,7.273500710896e-21
15.5,9.729394631217e-22
18.5,4.056289849302e-22
21.25,2.990095793313e-22
24.0,1.638636617337e-22
27.0,1.082379135161e-22
29.75,7.002865063714e-23
32.75,5.282810157963e-23
35.5,6.822853050121e-23
38.25,5.358063178542e-23
41.25,3.524405628615e-23
44.0,3.215199876061e-23
47.0,2.425284352048e-23
49.75,2.107027968417e-23
52.5,2.635606241224e-23
55.5,2.147205557778e-23
58.25,2.277977278110e-23
61.0,1.355353644295e-23
64.0,1.431309574898e-23
66.75,1.492120042770e-23
69.75,2.429645910474e-23
72.5,1.359874849153e-23
75.25,1.611765033100e-23
78.25,1.185243061723e-23
81.0,1.204697926938e-23
84.0,1.298807312234e-23
86.75,1.234245801402e-23
89.5,1.089849783041e-23
92.5,1.026281183010e-23
95.25,8.475499856358e-24
98.25,1.032817032101e-23
101.0,8.512099986353e-24
103.75,9.498361540717e-24
106.75,8.933502161392e-24
109.5,9.652072204278e-24
112.25,9.346942784743e-24
115.25,1.032322986556e-23
118.0,7.901715078833e-24
121.0,8.932771177834e-24
123.75,7.804570449589e-24
126.5,9.355918771011e-24
129.5,8.392625615775e-24
132.25,1.066020449768e-23
135.25,8.877332867528e-24
138.0,7.359581132777e-24
140.75,7.548734733991e-24
143.75,7.106509381893e-24
146.5,7.529960933836e-24
149.25,7.289917085585e-24
152.25,8.255175957330e-24
155.0,1.069165369175e-23
158.0,7.748067386508e-24
160.75,7.114968806538e-24
163.5,7.097395151655e-24
166.5,8.209706239468e-24
169.25,8.787892057569e-24
172.25,7.738849869948e-24
175.0,8.230152700152e-24
177.75,7.917478715451e-24
180.75,7.560791744346e-24
183.5,7.229713194011e-24
186.5,6.789108701527e-24
189.25,7.444277536852e-24
192.0,6.255085899078e-24
195.0,6.391740437224e-24
197.75,7.121863433609e-24
200.5,6.672248573644e-24
203.5,7.319818112973e-24
206.25,7.240331792157e-24
209.25,6.566013569953e-24
212.0,7.144277601099e-24
214.75,8.049633896178e-24
217.75,7.397353709596e-24
220.5,6.578020372276e-24
223.5,6.679632754279e-24
226.25,8.463103073684e-24
229.0,9.632914606404e-24
232.0,7.883547622790e-24
234.75,7.610746956069e-24
237.75,8.792339712543e-24
240.5,7.506261185590e-24
243.25,7.271505018333e-24
246.25,9.147387897205e-24
249.0,8.409317378588e-24
251.75,7.722355122064e-24
254.75,6.931389052124e-24
257.5,7.706816566892e-24
260.5,1.059905716557e-23
263.25,7.600099956362e-24
266.0,8.958710999824e-24
269.0,7.211677570918e-24
271.75,7.980876002061e-24
274.75,8.840501317962e-24
277.5,7.495511679803e-24
280.25,7.682538188179e-24
283.25,7.034387509687e-24
286.0,6.303833803920e-24
288.75,7.632556501862e-24
291.75,7.500093857823e-24
294.5,7.543979033515e-24
297.5,8.735275130124e-24
300.25,9.186433892080e-24
303.0,1.727524837553e-23
306.0,9.294920884243e-24
308.75,8.882664002356e-24
311.75,9.491239153703e-24
314.5,7.292757965611e-24
317.25,8.862145745341e-24
320.25,9.090978460642e-24
323.0,9.132489433202e-24
326.0,8.465245468445e-24
328.75,9.598673034007e-24
331.5,1.105774489122e-23
334.5,7.619738809265e-24
337.25,9.041011110900e-24
340.0,1.016959622607e-23
343.0,9.999007433418e-24
345.75,7.333294526472e-24
348.75,8.181565696436e-24
351.5,8.077187156891e-24
354.25,9.846918282679e-24
357.25,8.398993784925e-24
360.0,9.886295502434e-24
363.0,7.929761067947e-24
365.75,9.555743353545e-24
368.5,8.323778265173e-24
371.5,8.826320449200e-24
374.25,9.473482979451e-24
377.25,8.135247049591e-24
380.0,9.253997888069e-24
382.75,6.992262249657e-24
385.75,1.054331121437e-23
388.5,1.100070395516e-23
391.25,9.582904535849e-24
394.25,7.452843486188e-24
397.0,1.096301065923e-23
400.0,1.081081293817e-23
402.75,1.067015359242e-23
405.5,8.693874295200e-24
408.5,8.791646943473e-24
411.25,1.062725244947e-23
414.25,9.890075791052e-24
417.0,1.163835294837e-23
419.75,9.321121094150e-24
422.75,9.114620470302e-24
425.5,8.784507783763e-24
428.25,8.862070688106e-24
431.25,7.537894811655e-24
434.0,1.236449399127e-23
437.0,1.058784896538e-23
439.75,1.121012326028e-23
442.5,1.339619427874e-23
445.5,1.197991072091e-23
448.25,1.147477124517e-23
451.25,1.040789713391e-23
454.0,9.235343880067e-24
456.75,1.239721875871e-23
459.75,1.184937959629e-23
462.5,9.308409027536e-24
465.5,1.020875843059e-23
468.25,1.203035997621e-23
471.0,7.827187403656e-24
474.0,1.000763762093e-23
476.75,1.172284817809e-23
479.5,1.278023477603e-23
482.5,1.177886832288e-23
485.25,1.043541965037e-23
488.25,1.084426345841e-23
491.0,1.003400853980e-23
493.75,1.273540178710e-23
496.75,1.064279374503e-23
499.5,9.298133895131e-24
502.5,1.506446442882e-23
505.25,1.212581026911e-23
508.0,5.196591705201e-23
511.0,1.090756413576e-23
513.75,1.179258372331e-23
516.75,1.125309664621e-23
519.5,9.300393718656e-24
522.25,1.162776809875e-23
525.25,1.033436233261e-23
528.0,1.106387258609e-23
530.75,1.180157701126e-23
533.75,1.247346888646e-23
536.5,1.391218949720e-23
539.5,1.267527934717e-23
542.25,1.259429830722e-23
545.0,1.217512486140e-23
548.0,1.203029522533e-23
550.75,1.386146154790e-23
553.75,1.187246113590e-23
556.5,1.121937192015e-23
559.25,1.310745103389e-23
562.25,1.060589330504e-23
565.0,1.400244867074e-23
567.75,1.244542081293e-23
570.75,1.523177334583e-23
573.5,1.292452548901e-23
576.5,1.332050633641e-23
579.25,1.500140804880e-23
582.0,1.286133629102e-23
585.0,1.324613597904e-23
587.75,1.376306793433e-23
590.75,1.153649751648e-23
593.5,1.172997015775e-23
596.25,1.394280237702e-23
599.25,2.256927879215e-23
602.0,1.508699294695e-23
605.0,1.304601722784e-23
607.75,1.601600645373e-23
610.5,1.402245473965e-23
613.5,1.273641204778e-23
616.25,1.020822918131e-23
619.0,1.113144369679e-23
622.0,1.282861443920e-23
624.75,1.246158003393e-23
627.75,1.070726985340e-23
630.5,1.075067633722e-23
633.25,1.495699200349e-23
636.25,1.229652132282e-23
639.0,1.164023399068e-23
642.0,1.562203591591e-23
644.75,1.552353589429e-23
647.5,1.531490668785e-23
650.5,1.589752958441e-23
653.25,1.315320054474e-23
656.25,1.142701280050e-23
659.0,1.321925471779e-23
661.75,1.431555082615e-23
664.75,1.078465192605e-23
667.5,1.127583410601e-23
670.25,1.303531226945e-23
673.25,1.559510297907e-23
676.0,1.467546666889e-23
679.0,1.546485394892e-23
681.75,1.466808028831e-23
684.5,1.600270747616e-23
687.5,1.660342772948e-23
690.25,1.865674274373e-23
693.25,2.024116945322e-23
696.0,1.542090714817e-23
698.75,1.961963642425e-23
701.75,1.744317605419e-23
704.5,1.497225235985e-23
707.25,1.926398275440e-23
710.25,1.841597495772e-23
713.0,1.218650075923e-23
716.0,1.410140882390e-23
718.75,1.693464286135e-23
721.5,1.657469841601e-23
724.5,1.336694668093e-23
727.25,1.541272475894e-23
730.25,1.618094326202e-23
733.0,1.433396127640e-23
735.75,1.489520388587e-23
738.75,1.689317387771e-23
741.5,1.535129384351e-23
744.5,1.376845578796e-23
747.25,1.304294225817e-23
750.0,1.285714340422e-23
753.0,1.479160360863e-23
755.75,1.431918616347e-23
758.5,1.666644630473e-23
761.5,1.872783288395e-23
764.25,9.739052591180e-24
767.25,1.544516346093e-23
770.0,1.533092029038e-23
772.75,1.444795155184e-23
775.75,1.237413591364e-23
778.5,1.384132026100e-23
781.5,1.754947414850e-23
784.25,1.470080785566e-23
787.0,1.415137656832e-23
790.0,1.593495194680e-23
792.75,1.700813663347e-23
795.75,1.588466172864e-23
798.5,1.879120015152e-23
801.25,1.239994227889e-23
804.25,1.634024303215e-23
807.0,1.575027692466e-23
809.75,1.692412012169e-23
812.75,1.354337943333e-23
815.5,1.671223325312e-23
818.5,1.377015804593e-23
821.25,1.436282739132e-23
824.0,1.748950927543e-23
827.0,1.297712987849e-23
829.75,1.883639262238e-23
832.75,1.041263607762e-23
835.5,1.337586009248e-23
838.25,1.628599612597e-23
841.25,1.452149807724e-23
844.0,1.380264263904e-23
846.75,1.539241300625e-23
849.75,1.635270758784e-23
852.5,1.625139685115e-23
855.5,1.445039835540e-23
858.25,1.760383846012e-23
861.0,1.647181365967e-23
864.0,1.424822761193e-23
866.75,1.575685874251e-23
869.75,1.750748129289e-23
872.5,1.589587403122e-23
875.25,1.655335325810e-23
878.25,1.444469891119e-23
881.0,1.928606224015e-23
884.0,1.859543246711e-23
886.75,2.003014776362e-23
889.5,1.807053563902e-23
892.5,1.647375209979e-23
895.25,1.834021275325e-23
898.0,1.707530468547e-23
901.0,1.637694611102e-23
903.75,1.917256112138e-23
906.75,1.822673535511e-23
909.5,2.088159862056e-23
912.25,1.993641864970e-23
915.25,2.007375182269e-23
918.0,1.867159400861e-23
921.0,1.850074675267e-23
923.75,1.755153396431e-23
926.5,1.965623661167e-23
929.5,1.934404854092e-23
932.25,2.282983306373e-23
935.25,2.051566369017e-23
938.0,1.886297347628e-23
940.75,1.898109074821e-23
943.75,2.369980210832e-23
946.5,2.266574134060e-23
949.25,2.503567248115e-23
952.25,2.337920692875e-23
955.0,1.837846762358e-23
958.0,2.069643972831e-23
960.75,2.309532996948e-23
963.5,1.743534714019e-23
966.5,2.204818936571e-23
969.25,1.980167814920e-23
972.25,2.019693707735e-23
975.0,2.935356712716e-23
977.75,2.624098125505e-23
980.75,2.334180856968e-23
983.5,2.440409722695e-23
986.25,3.402580872951e-23
989.25,3.540637949634e-23
992.0,7.381532710401e-22
995.0,2.989703158041e-21
997.75,4.598683586073e-21
1000.5,3.826974970793e-23
1003.5,3.569738172052e-23
1006.25,1.510918966221e-21
1009.25,1.834184579584e-21
1012.0,3.164608863685e-23
1014.75,2.934581071093e-23
1017.75,3.179548633101e-23
1020.5,2.599214100888e-23
1023.5,2.409396070416e-23
1026.25,2.272584441002e-23
1029.0,2.355462626097e-23
1032.0,2.319450120527e-23
1034.75,2.922493668548e-23
1037.5,2.681893516052e-23
1040.5,2.061152574272e-23
1043.25,2.116333863931e-23
1046.25,2.535569618400e-23
1049.0,2.202388218086e-23
1051.75,2.448059132964e-23
1054.75,1.990068670007e-23
1057.5,2.209853125841e-23
1060.5,2.452631580123e-23
1063.25,2.483858305735e-23
1066.0,2.324642070111e-23
1069.0,1.976834664370e-23
1071.75,2.233423418023e-23
1074.5,2.329523831153e-23
1077.5,2.583642012814e-23
1080.25,2.380055465986e-23
1083.25,2.361113012148e-23
1086.0,2.253107216519e-23
1088.75,2.780083968823e-23
1091.75,2.292845984858e-23
1094.5,2.347730592274e-23
1097.5,2.990621728235e-23
1100.25,2.388089104350e-23
1103.0,2.285810193018e-23
1106.0,2.511169538283e-23
1108.75,2.478001549180e-23
1111.75,2.162691194536e-23
1114.5,2.182273047608e-23
1117.25,2.157403900932e-23
1120.25,2.432031634125e-23
1123.0,2.333197639871e-23
1125.75,2.521469254706e-23
1128.75,2.074400253814e-23
1131.5,2.640898807651e-23
1134.5,2.378325920671e-23
1137.25,2.644152338629e-23
1140.0,2.468632511203e-23
1143.0,2.742218361508e-23
1145.75,2.621083863543e-23
1148.75,2.460025053507e-23
1151.5,2.532812328248e-23
1154.25,3.040289735906e-23
1157.25,2.164637296220e-23
1160.0,2.517904804881e-23
1163.0,2.507407684022e-23
1165.75,2.649195817321e-23
1168.5,2.000098517002e-23
1171.5,2.624861391996e-23
1174.25,2.313113265801e-23
1177.0,2.052919588436e-23
1180.0,2.474346633512e-23
1182.75,2.716215921628e-23
1185.75,2.210176522548e-23
1188.5,2.826990177578e-23
1191.25,2.860392534407e-23
1194.25,2.619494982406e-23
1197.0,2.712547076092e-23
1200.0,2.359838791407e-23
1202.75,2.706896046705e-23
1205.5,3.343265647746e-23
1208.5,2.944109181458e-23
1211.25,2.761934055825e-23
1214.0,2.754106198263e-23
1217.0,2.625222730356e-23
1219.75,2.671739718787e-23
1222.75,2.938962958706e-23
1225.5,2.863347847961e-23
1228.25,2.444387821817e-23
1231.25,2.982013052677e-23
1234.0,3.010906058507e-23
1237.0,2.346436679650e-23
1239.75,2.396010703266e-23
1242.5,2.515913715553e-23
1245.5,2.123859909548e-23
1248.25,2.652564980353e-23
1251.25,2.427724048395e-23
1254.0,3.702987079781e-23
1256.75,3.237525596924e-23
1259.75,2.649788823219e-23
1262.5,3.122789719720e-23
1265.25,2.173200285382e-23
1268.25,2.375868125916e-23
1271.0,2.299009224285e-23
1274.0,3.042234943575e-23
1276.75,2.626918238996e-23
1279.5,3.070064624963e-23
1282.5,2.116775016397e-23
1285.25,2.297152160475e-23
1288.25,2.570695702517e-23
1291.0,2.327759738944e-23
1293.75,2.465303726735e-23
1296.75,2.144949278265e-23
1299.5,2.271068507393e-23
1302.5,2.167449498825e-23
1305.25,2.659651209109e-23
1308.0,2.852343904359e-23
1311.0,2.500506266553e-23
1313.75,2.558055075518e-23
1316.5,2.398670970390e-23
1319.5,2.605750617702e-23
1322.25,2.552767885844e-23
1325.25,2.843493461997e-23
1328.0,2.710384944544e-23
1330.75,2.594038254081e-23
1333.75,2.777810114910e-23
1336.5,2.569013994860e-23
1339.5,2.432892444944e-23
1342.25,2.109130473395e-23
1345.0,2.900916160632e-23
1348.0,2.117095866275e-23
1350.75,2.993102297814e-23
1353.5,2.677619032425e-23
1356.5,3.017677271944e-23
1359.25,2.668694493453e-23
1362.25,2.565136240562e-23
1365.0,3.383240243849e-23
1367.75,2.438836032159e-23
1370.75,2.550191675069e-23
1373.5,2.649211537286e-23
1376.5,3.263233297999e-23
1379.25,2.862864280820e-23
1382.0,2.489870103602e-23
1385.0,3.018106959540e-23
1387.75,2.921739571626e-23
1390.75,2.378626319843e-23
1393.5,2.479071400510e-23
1396.25,2.803074799169e-23
1399.25,2.994945988134e-23
1402.0,2.474558816398e-23
1404.75,2.481225254030e-23
1407.75,2.849587509971e-23
1410.5,3.214254841980e-23
1413.5,3.046225278793e-23
1416.25,3.367424237309e-23
1419.0,2.841763768375e-23
1422.0,3.422563773995e-23
1424.75,2.811285181062e-23
1427.75,2.654682263335e-23
1430.5,2.865051877987e-23
1433.25,2.904843510504e-23
1436.25,2.553950585289e-23
1439.0,2.175262612697e-23
1442.0,2.778069909205e-23
1444.75,2.814328335297e-23
1447.5,3.430594418201e-23
1450.5,2.718661512985e-23
1453.25,3.091742249908e-23
1456.0,5.212033429117e-22
1459.0,2.728443358416e-23
1461.75,4.311583818665e-22
1464.75,2.719893832590e-23
1467.5,5.387068222505e-23
1470.25,2.455944192843e-22
1473.25,3.494639365937e-23
1476.0,3.792584415996e-23
1479.0,2.400281483983e-23
1481.75,2.213077732775e-23
1484.5,1.063055667718e-21
1487.5,2.912192063264e-23
1490.25,3.121253543287e-23
1493.0,2.879487611914e-23
1496.0,2.979372459858e-23
1498.75,4.953999139504e-23
1501.75,3.010590546552e-23
1504.5,3.173000465591e-23
1507.25,3.187248401895e-23
1510.25,2.487280572352e-23
1513.0,2.521908214441e-23
1516.0,3.522240633190e-23
1518.75,2.847096566656e-23
1521.5,2.883040032467e-23
1524.5,2.622522172772e-23
1527.25,2.996133604225e-23
1530.25,3.359314763595e-23
1533.0,2.807952813588e-23
1535.75,2.610379710333e-23
1538.75,3.371494950516e-23
1541.5,2.890028950755e-23
1544.25,3.156428724632e-23
1547.25,2.563611262701e-23
1550.0,2.926393971816e-23
1553.0,2.700565924090e-23
1555.75,2.594625325895e-23
